Tara,C1,C2,C3,C4,C5,C6,C7
Estonia,1.0800919351486586,-0.2744431707345744,-0.08963038929112503,-0.6411689155523761,-0.4549026888392083,0.35788221926465785,0.3375841980534931
Ethiopia,-1.9846078175135973,0.12352204931128159,-0.5932389959043757,0.8331962537524109,-0.9140750540102778,0.2382556920591725,-0.3416987752539239
Fiji,0.34985791533826316,-0.6805423520520102,0.25124883284527555,-1.5926179805554412,-0.2143972485683326,-0.27971412101009263,0.13980452816219846
Finland,1.834552058647701,0.009929183550341317,0.7056528911292111,0.014901250279780206,-0.06419902458961503,-0.0433743121170458,0.1692430189124063
France,1.9864139548941828,-0.2474366663960992,-0.09176147687964663,-1.4955919871090766,0.5057214736644199,-0.5028319362722883,0.23366821709608637
Gabon,-1.0170527410054877,-1.6715500147855136,-0.5071328618319839,0.7232347078045513,1.5775970214083797,-0.058403954401835184,-0.08134544011359289
Gambia,-1.4865181333493274,2.4596111133474308,-0.45899442460802525,-0.25228035304180557,0.7598248301667555,-0.06909404962378056,-0.04960391337322323
Georgia,1.206532985581241,-0.29783776912547066,-0.34291289321272755,-0.3528475823477076,0.031050800868848816,0.01577611501560557,-0.0069342773934965305
Germany,1.8826783795614508,-0.0983502679930765,-0.40238418544345167,0.21408166113485563,-0.6082170385426945,-0.422312242566513,0.21475911474693485
Ghana,-1.6115492328048335,1.8233312861948752,0.24449767817138374,0.23123038233236584,-0.29938333498051234,-0.36724619290812244,-0.030896732208399932
Greece,2.386449568430994,-0.6594501962589597,0.8634886075539818,-0.49755988843821986,0.1760089335627884,0.3089800572889883,0.010066736694191647
Grenada,0.11964954056564102,-0.3065547552833331,-0.8575200318369439,1.1756910537013965,-0.9362759472370982,0.14966691719354375,0.2081926140353014
Guatemala,-0.19193350114900481,-0.7981164898488472,-0.8062121710035346,1.1912708038411006,-0.4939802356362892,-0.1999507827337848,0.03828027454762163
Guinea,-1.8065472053820868,0.9154453976065627,-0.8665123512590429,-0.5931744123993355,-0.8581217094808445,-0.1509341797007756,-0.003223152471372487
Guinea-Bissau,-2.8323750326499866,1.8626665414113237,-0.9742509004862157,-0.08286690821348298,-0.06019649744255446,-0.12779003843246312,0.052257999205405664
Guyana,-1.4183688050525922,0.3207509912165033,0.7065710401246835,1.1262888334078223,0.9603708727874887,0.03821789301567378,0.46993705111595996
Haiti,-1.7254421606099535,1.8645197577988692,-0.39838756438679485,-0.5645703178184976,-1.62101488700421,-0.38406848560663864,-0.3659870199836861
Honduras,0.03464370983725205,-0.2943906544953387,0.6595155320240255,0.02407154275329819,0.5714751413265122,-0.0017030209795092146,-0.03894254670311068
Hungary,1.2668639804990642,-0.04414761072238336,-0.6378059860681333,0.39739636464916517,-0.9357952899790677,0.49252797378044155,0.28273386620211804
Iceland,2.1909897970361474,0.5280500551703404,-0.7855322795085847,0.519244828005879,-0.13813876603853784,0.08126823508406486,0.18561021206429182
India,0.1247916887567595,-1.1877048309911433,-0.5978974655927454,-1.3901433179699445,-0.04474657345046706,0.1585338594511779,-0.1525973966135825
Indonesia,-0.1260456415328745,1.616008234607086,0.07414920282640494,-0.41345197138176293,-1.6653653299132298,-0.3375392083335409,0.10158726806113123
Iran (Islamic Republic of),1.0271021672183471,0.9695468060001338,-0.3862313268303634,-1.341387928759668,-0.25578905068709495,0.856233624792742,-0.16487541609899595
Iraq,-0.055776588618914956,1.2912750000373447,1.6528785898785792,-0.63494209857528,-0.4513709211112558,0.665300441983108,-0.6928946005049901
Ireland,1.911940098991632,1.609681483624228,-0.006865385475520577,-0.3195151650942285,-0.6311863348617001,0.22055867048705638,0.10638327095414993
Israel,1.6936182895800007,0.36068969283230234,-0.7925877233977479,-1.1050588897264597,1.4870900938528306,-0.55907887216087,0.1260390154473958
Italy,2.332550118132372,-0.25534841806069336,0.8997965224601127,0.40023991941924786,-0.04424741530969252,0.2802992137225489,0.1211934991088896
Jamaica,1.082213229918534,-0.6689999763805504,-1.051878328857275,0.4474644741526513,0.6573232451576948,0.03067187878615188,0.12183210608012675
Japan,1.671638815964092,-0.26557145396130954,1.1717915887083712,1.0517954549830626,-0.8212523223502228,-0.9755724541010835,0.27505249194204945
Jordan,1.0331019054602657,0.20346595572841747,1.4423077223572722,-0.857836772135189,0.15836691585583834,0.4247177878016718,-0.19123784426869073
Kazakhstan,-0.07142221662682059,-2.217474619168191,0.832158229198165,-0.11837412906716581,0.12163170330174645,0.37480561193382717,0.2527176869012504
Kenya,-2.372585324132521,-1.1698684906563213,1.8797480446922654,-0.551567965661285,0.5278409241473442,0.09316808283611859,0.2759695584630155
Kiribati,-1.101597232346283,1.3495545376740907,-1.2590726857287322,-0.04211954340794394,-0.7904684421612999,-1.2038840400114528,-0.048900155060016715
Kuwait,0.6853007760354061,0.037906712144005705,-0.608061230427609,2.0753307293167222,0.19847897891132163,-1.0353583699045117,-0.14158281046293225
Kyrgyzstan,-0.18491250784496693,0.2929127351687027,-1.1792325439588536,-1.4970463908590514,0.9384707587628981,-0.1261186861403217,-0.0037518714439765304
Lao People's Democratic Republic,-1.249750736912847,0.78132048584626,0.6284513151050672,-0.983806511726844,-0.8879256939325739,0.09584626449275283,-0.12551175938726342
Latvia,0.7836077259356453,-1.111786581684883,-1.1111508382874609,0.2729376638822476,0.9503401146414457,0.31072128675520627,0.29168094317459836
Lebanon,1.3013488461837588,-0.3785208090386224,-0.6709490739180091,-0.6873751820021347,0.7050659052861882,0.8888697962262668,-0.16295438701671372
Lesotho,-2.702621452840953,-1.1275403377079982,-0.49414896923140367,-1.661081985236559,-0.8491205131850743,0.9523627093793618,-0.1496661096286149
